"site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
204010,"SP_Mag",16.5044,"Current","sp_mag",0.399583359557555,0.800031357780213,"ASCI"
205010,"SP_Mag",27.7368,"Current","sp_mag",0.35333784142579,0.669916055770505,"ASCI"
207010,"SP_Mag",21.598,"Current","sp_mag",0.378334011448375,0.740244691776004,"ASCI"
301010,"SP_Mag",62.30355,"Current","sp_mag",0.229478348481583,0.321427899895893,"ASCI"
301011,"SP_Mag",12.1464,"Current","sp_mag",0.418072350092546,0.852051546643933,"ASCI"
301020,"SP_Mag",32.2615,"Current","sp_mag",0.335405744211275,0.619462728853807,"ASCI"
301030,"SP_Mag",24.78795,"Current","sp_mag",0.365254717238038,0.703445097242262,"ASCI"
401070,"SP_Mag",12.80465,"Current","sp_mag",0.415263521322316,0.844148692086423,"ASCI"
401080,"SP_Mag",22.1963,"Current","sp_mag",0.375866707656069,0.733302743862894,"ASCI"
401100,"SP_Mag",4.815,"Current","sp_mag",0.449675889448331,0.940970521584103,"ASCI"
401101,"SP_Mag",0.00360000000000005,"Current","sp_mag",0.470656118308633,1,"ASCI"
401110,"SP_Mag",7.54885,"Current","sp_mag",0.437829343784256,0.907639359362911,"ASCI"
401120,"SP_Mag",0.9197,"Current","sp_mag",0.466651141604222,0.988731691751155,"ASCI"
401121,"SP_Mag",0.3172,"Current","sp_mag",0.469284680297651,0.996141354271822,"ASCI"
402010,"SP_Mag",3.3883,"Current","sp_mag",0.455881801473922,0.958431329681327,"ASCI"
402020,"SP_Mag",64.2861,"Current","sp_mag",0.223382039520031,0.304275468401522,"ASCI"
402021,"SP_Mag",60.9554,"Current","sp_mag",0.233690110192388,0.333278013574648,"ASCI"
402022,"SP_Mag",61.1785,"Current","sp_mag",0.232989428470345,0.331306591963227,"ASCI"
402023,"SP_Mag",59.6994,"Current","sp_mag",0.237662064964461,0.344453412091422,"ASCI"
402030,"SP_Mag",13.9223,"Current","sp_mag",0.410507057809563,0.830766018230403,"ASCI"
402031,"SP_Mag",17.3909,"Current","sp_mag",0.395855310016763,0.789542205284934,"ASCI"
402040,"SP_Mag",2.4392,"Current","sp_mag",0.460017954310234,0.970068712009312,"ASCI"
402041,"SP_Mag",0.2269,"Current","sp_mag",0.469679534336271,0.997252306306967,"ASCI"
