"","site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
"259",402031,"Peak_10",99.5051,"Current","peak_10",NA,NA,"CSCI"
"260",402040,"Peak_10",18.92644,"Current","peak_10",NA,NA,"CSCI"
"261",402041,"Peak_10",1.29944,"Current","peak_10",NA,NA,"CSCI"
"262",402050,"Peak_10",113.27138,"Current","peak_10",NA,NA,"CSCI"
"263",402051,"Peak_10",111.0554,"Current","peak_10",NA,NA,"CSCI"
"264",402060,"Peak_10",57.44504,"Current","peak_10",NA,NA,"CSCI"
"265",403010,"Peak_10",21.61262,"Current","peak_10",NA,NA,"CSCI"
"266",403011,"Peak_10",123.82006,"Current","peak_10",NA,NA,"CSCI"
"267",403020,"Peak_10",141.486,"Current","peak_10",NA,NA,"CSCI"
"268",403030,"Peak_10",43.99082,"Current","peak_10",NA,NA,"CSCI"
"269",404010,"Peak_10",105.333,"Current","peak_10",NA,NA,"CSCI"
